Прайс-лист на 2 сентября 2019 г.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ценовая группа,,,,,,,,,,,,,Прайс-лист,Склад Запорожье основной
Артикул,,,,,"Номенклатура, Упаковка",,,,,,,,грн,
,,,,,,,,,,,,,Включает НДС,
,,,,,,,,,,,,,Цена,Остаток
,,,,,,,,,,,,,,
3990AGNGYV,,,,,"Acura MDX (Внедорожник) ветровое З/П.Ш.ТЗ (триплекс) 2001-06 , шт",,,,,,,,"1,950.00",1.000
3990AGNGYPV,,,,,"Acura MDX (Внедорожник) ветровое З/П.Ш.ТЗ дд (триплекс) 2001-06 , шт",,,,,,,,"1,950.00",1.000
4099AGNGYV,,,,,"Acura RDX (Внедорожник) ветровое З/П.Ш.ТЗ (триплекс) 2006-12, шт",,,,,,,,"1,450.00",1.000
8532AGNBL,,,,,"Audi 100 (44) (Седан, Комби) ветровое З/П.Ш.ТЗ (триплекс) 1982-91 (SG), шт",,,,,,,,953.00,2.000
8540AGNBL,,,,,"Audi 100 (45 куз.) (Седан, Комби) ветровое З/П.Ш.ТЗ (триплекс) 1991-94 (SG), шт",,,,,,,,876.00,2.000
8540BGNS,,,,,"Audi 100 (45 куз.) (Седан) заднее с ЭО зеленое (сталинит) 1991-94, шт",,,,,,,,"1,385.00",1.000
8532LGNS4RD,,,,,"Audi 100/200 (44) (Седан) задней двери опускное левое зеленое (сталинит) 1982-91, шт",,,,,,,,500.00,1.000
8532RGNS4RD,,,,,"Audi 100/200 (44) (Седан) задней двери опускное правое зеленое (сталинит) 1982-91, шт",,,,,,,,500.00,1.000
8532LGNS4FD,,,,,"Audi 100/200 (44) (Седан) передней двери опускное левое зеленое (сталинит) 1982-91 , шт",,,,,,,,530.00,1.000
8532RGNS4FD,,,,,"Audi 100/200 (44) (Седан) передней двери опускное правое зеленое (сталинит) 1982-91 , шт",,,,,,,,530.00,1.000
8526AGNBL,,,,,"Audi 80 (Седан) ветровое З/П ТЗ (триплекс) 1979-86 (SG), шт",,,,,,,,770.00,6.000
8620AGNGYСPV,,,,,"Audi A3 (Седан) ветровое З/П.Ш.ТЗ дд (камера) (триплекс) 2013-  , шт",,,,,,,,"1,350.00",1.000
8620AGNGYPV,,,,,"Audi A3 (Седан) ветровое З/П.Ш.ТЗ дд (триплекс) 2013- , шт",,,,,,,,"1,350.00",1.000
8554AGNBLV,,,,,"Audi A3 (Хетчбек) ветровое З/П.Ш.ТЗ (триплекс) 1996-02 (SG), шт",,,,,,,,"1,118.00",2.000
8616AGNGYPV,,,,,"Audi A3 (Хетчбек) ветровое З/П.Ш.ТЗ кругл. дд (триплекс) 2012-, шт",,,,,,,,"1,392.00",2.000
8547BGNE,,,,,"Audi A4 (Комби) заднее с ЭО зеленое (сталинит) 1996-00, шт",,,,,,,,"1,183.00",1.000
8547AGNBL,,,,,"Audi A4 (Седан, Комби) ветровое З/П.Ш.ТЗ (триплекс) 1994-01 (SG), шт",,,,,,,,941.00,1.000
8572AGNBLPV,,,,,"Audi A4 (Седан, Комби) ветровое З/П.Ш.ТЗ дд (триплекс) 2001-08 , шт",,,,,,,,"1,154.00",1.000
8589AGAGYMVZ1P,,,,,"Audi A4 (Седан, Комби) ветровое З/П.Ш.ТЗ дд капля (триплекс) 2008-12 (PIL), шт",,,,,,,,"3,597.00",1.000
8589AGNPV,,,,,"Audi A4 (Седан, Комби) ветровое ТЗ дд кругл. (c 12-) (триплекс) 2008-  (SG), шт",,,,,,,,"1,059.00",1.000
8572LGNS4FD,,,,,"Audi A4 (Седан, Комби) передней двери опускное левое зеленое (сталинит) 2001-08, шт",,,,,,,,532.00,1.000
8572RGNS4FD,,,,,"Audi A4 (Седан, Комби) передней двери опускное правое зеленое (сталинит) 2001-08, шт",,,,,,,,532.00,1.000
8547BGNSA,,,,,"Audi A4 (Седан)  заднее с ЭО зеленое (сталинит) 1994-01, шт",,,,,,,,"1,054.00",1.000
8572BGNS,,,,,"Audi A4 (Седан) заднее с ЭО зеленое (сталинит) 2000-07, шт",,,,,,,,"1,052.00",2.000
8589BGNS,,,,,"Audi A4 (Седан) заднее с ЭО зеленое (сталинит) 2007-16, шт",,,,,,,,"1,332.00",2.000
8547LGNS4RD,,,,,"Audi A4 (Седан) задней двери опускное левое зеленое (сталинит) 1994-01, шт",,,,,,,,414.00,1.000
8547RGNS4RD,,,,,"Audi A4 (Седан) задней двери опускное правое зеленое (сталинит) 1994-01, шт",,,,,,,,414.00,1.000
8547LGNS4FD,,,,,"Audi A4 (Седан) передней двери опускное левое  зеленое (сталинит) 1994-01, шт",,,,,,,,412.00,1.000
8582AGNBLPV,,,,,"Audi A6 (C6) (Седан) ветровое З/П.Ш.ТЗ дд (триплекс) 2004-11 (SG), шт",,,,,,,,"1,035.00",1.000
8611AGNPV,,,,,"Audi A6 (C7) (Седан, Комби) ветровое ТЗ дд (триплекс) 2011- (SG), шт",,,,,,,,"1,107.00",1.000
8582BGNE,,,,,"Audi A6 (Комби) заднее с ЭО зеленое (сталинит) 2004-11, шт",,,,,,,,"1,389.00",1.000
8557BGNSA,,,,,"Audi A6 (Седан) заднее с ЭО зеленое (сталинит) 1997-04, шт",,,,,,,,"1,293.00",1.000
8582BGNS ,,,,,"Audi A6 (Седан) заднее с ЭО зеленое (сталинит) 2004-11, шт",,,,,,,,"1,298.00",1.000
8557RGNS4RD,,,,,"Audi A6 (Седан) задней двери опускное правое зеленое (сталинит) 1997-04 , шт",,,,,,,,470.00,1.000
8557RGNS4FD,,,,,"Audi A6 (Седан) передней двери опускное правое зеленое (сталинит) 1997-04 , шт",,,,,,,,471.00,1.000
8608AGNBLPV,,,,,"Audi A7 (Хетчбек) ветровое З/П.Ш.ТЗ дд кругл. (триплекс) 2010- (SG), шт",,,,,,,,"1,189.00",2.000
8578ACLBLPV,,,,,"Audi A8 (Седан)  ветровое З/П.Ш.ТЗ дд капля (триплекс) 2002-10 (SG) , шт",,,,,,,,"1,138.00",1.000
8607AGNCPV,,,,,"Audi A8 (Седан)  ветровое ТЗ дд камера (триплекс) 2010- (SG) , шт",,,,,,,,"1,129.00",1.000
8569AGNBL,,,,,"Audi A8 (Седан) ветровое З/П.Ш.ТЗ (триплекс) 1999-02 (SG), шт",,,,,,,,"1,074.00",1.000
8546LGNS4FD,,,,,"Audi A8 (Седан) передней двери опускное левое зеленое (сталинит) 1994-98 , шт",,,,,,,,530.00,1.000
8546RGNS4FD,,,,,"Audi A8 (Седан) передней двери опускное правое зеленое (сталинит) 1994-98 , шт",,,,,,,,530.00,1.000
8614AGNBLPV,,,,,"Audi Q3 (Внедорожник) ветровое З/П.Ш.ТЗ дд (триплекс) 2011- (SG), шт",,,,,,,,"1,043.00",1.000
8561AGNGYV,,,,,"Audi TT CPE (Купе, Кабриолет) ветровое З/П.Ш.ТЗ (триплекс) 1998-06, шт",,,,,,,,"1,143.00",1.000
AGNBL,,,,,"BAW Fenix 3346 (Грузовик) ветровое З/П.ТЗ (триплекс) 2007-  , шт",,,,,,,,"1,599.00",2.000
2448AGNGYV,,,,,"BMW 1 series (E81/E82/E87/E88) (Хетчбек, Купе, Кабриолет) ветровое З/П.Ш.ТЗ  (триплекс) 2004-12, шт",,,,,,,,"1,350.00",1.000
2448AGNGYPV,,,,,"BMW 1 series (E81/E82/E87/E88) (Хетчбек, Купе, Кабриолет) ветровое З/П.Ш.ТЗ дд (триплекс) 2004-12, шт",,,,,,,,"1,450.00",2.000
2448BGNH,,,,,"BMW 1 series (E81/E87) (Хетчбек) заднее с ЭО (сталинит) 2004- , шт",,,,,,,,"1,493.00",1.000
2467AGNGYPV,,,,,"BMW 1 series (F20/F21) (Седан, Комби) ветровое З/П.Ш.ТЗ дд (триплекс) 2012-, шт",,,,,,,,"1,200.00",1.000
2432AGNBL,,,,,"BMW 3 series (E36) 2D (Купе, Кабриолет) ветровое З/П.Ш.ТЗ (триплекс) 1991-99 (SG), шт",,,,,,,,"1,027.00",1.000
2436AGNGYPV,,,,,"BMW 3 series (E46) (Седан, Комби) ветровое З/П.Ш.ТЗ дд (триплекс) 1998-05 (SEK), шт",,,,,,,,"3,410.00",1.000
2436BGNSAB,,,,,"BMW 3 series (E46) (Седан) заднее с ЭО ант зеленое (сталинит) 1998-05, шт",,,,,,,,"1,244.00",1.000
2436BGNSAB,,,,,"BMW 3 series (E46) (Седан) заднее с ЭО ант зеленое (сталинит) 1998-05 (SEKURIT), шт",,,,,,,,"5,478.00",1.000
2436LGNS4RD,,,,,"BMW 3 series (E46) (Седан) задней двери опускное левое зеленое (сталинит) 1998-04 , шт",,,,,,,,470.00,1.000
2436RGNS4RD,,,,,"BMW 3 series (E46) (Седан) задней двери опускное правое зеленое (сталинит) 1998-04, шт",,,,,,,,470.00,1.000
2436RGNS4FD,,,,,"BMW 3 series (E46) (Седан) передней двери опускное правое зеленое (сталинит) 1998-04 , шт",,,,,,,,448.00,1.000
2447BGNS,,,,,"BMW 3 series (E90) (Седан) заднее с ЭО зеленое (сталинит) 2005-, шт",,,,,,,,"1,383.00",1.000
2434ASMS,,,,,"BMW 5 (E39) (Седан, Комби) (1995-2004) уплотнитель ветрового стекла, шт",,,,,,,,458.00,1.000
2426BGNS,,,,,"BMW 5 series (E34) (Седан) заднее с ЭО зеленое (сталинит) 1988-95 , шт",,,,,,,,"1,366.00",2.000
2426RGNS4RD,,,,,"BMW 5 series (E34) (Седан) задней двери опускное правое зеленое (сталинит) 1988-95 , шт",,,,,,,,369.00,1.000
2426RGNS4FD,,,,,"BMW 5 series (E34) (Седан) передней двери опускное правое зеленое (сталинит) 1988-95 , шт",,,,,,,,430.00,1.000
2434BGNS,,,,,"BMW 5 series (E39) (Седан) заднее с ЭО зеленое (сталинит) 1995-03 , шт",,,,,,,,"1,264.00",1.000
